,id,password,type,rname,org,year
0,azumi,mamiya,0,あづみ,静岡大学,2019
1,daiki,miyagawa,0,だいき,静岡大学,2019
2,tomohiro,tsuchiya,1,ともひろ,静岡大学,2019
3,ryota,koyanagi,1,こやなぎ,静岡大学,2019
4,kenshin,kenshin,1,けんしん,静岡大学,2019
5,shinzo,abe,1,安倍晋三,内閣,2019
6,goku,son,1,孫悟空,ドラゴンボール,2019
7,aimyon,aimyon,1,あいみょん,あいみょん,2019
8,hikakin,hikakin,1,ヒカキン,Youtube,2019
9,Eren,Jaeger,1,エレン・イェーガー,進撃の巨人,2019
10,Mikasa,Ackermann,1,ミカサ・アッカーマン,進撃の巨人,2019
11,Rivai,Ackermann,1,リヴァイ,進撃の巨人,2019
12,mark,zuckerberg,1,マーク・ザッカーバーグ,Facebook,2019
13,aaa,aaa,1,あああ,aaa,2019
14,aaa,aaa,1,あああ,aaa,2019
15,iii,iii,1,いいい,iii,2019
16,aiu,aiu,1,aiu,aiu,2019
17,hara,hara,1,原くん,ハラクン,2019
